iter	Passed	Remaining
918	4276	376
919	4280	372
920	4284	367
921	4288	362
922	4292	358
923	4296	353
924	4299	348
925	4305	344
926	4309	339
927	4313	334
928	4316	329
929	4321	325
930	4325	320
931	4328	315
932	4332	311
933	4336	306
934	4340	301
935	4344	297
936	4348	292
937	4354	287
938	4358	283
939	4362	278
940	4366	273
941	4373	269
942	4377	264
943	4381	259
944	4386	255
945	4390	250
946	4394	245
947	4398	241
948	4403	236
949	4408	232
950	4412	227
951	4417	222
952	4422	218
953	4426	213
954	4430	208
955	4436	204
956	4440	199
957	4444	194
958	4451	190
959	4454	185
960	4458	180
961	4462	176
962	4468	171
963	4472	167
964	4476	162
965	4482	157
966	4486	153
967	4490	148
968	4494	143
969	4499	139
970	4502	134
971	4506	129
972	4510	125
973	4514	120
974	4518	115
975	4522	111
976	4525	106
977	4531	101
978	4535	97
979	4538	92
980	4542	87
981	4547	83
982	4551	78
983	4554	74
984	4558	69
985	4562	64
986	4566	60
987	4570	55
988	4574	50
989	4578	46
990	4583	41
991	4587	36
992	4591	32
993	4596	27
994	4600	23
995	4603	18
996	4607	13
997	4611	9
998	4615	4
999	4619	0
